tamanho,quartos,banheiros,garagem,idade,piscina,bairro,preco
220,4,3,1,3,0,Médio,1525890
164,1,1,3,5,0,Médio,1060922
168,5,2,1,18,0,Médio,1141544
148,3,1,0,1,0,Popular,754025
126,5,2,2,14,0,Médio,963161
110,3,2,3,30,1,Popular,597360
40,5,2,3,31,1,Médio,504097
165,4,1,0,9,1,Médio,1211888
243,1,4,2,26,0,Popular,1105467
166,4,2,2,12,0,Médio,1094133
242,2,1,0,37,0,Médio,1388146
255,5,1,1,31,0,Popular,1196380
176,4,1,0,29,0,Médio,1108818
191,2,1,0,17,0,Popular,887436
84,2,1,0,13,0,Popular,432500
244,3,3,3,36,1,Popular,1257860
65,1,2,1,27,0,Nobre,500184
115,1,4,2,2,0,Nobre,1149961
239,4,4,0,6,0,Médio,1594859
157,2,4,0,38,0,Médio,952718
110,1,2,2,25,0,Popular,515170
102,3,4,3,25,1,Médio,890646
88,4,2,3,32,0,Popular,467282
105,2,1,2,14,0,Popular,526569
169,4,4,2,2,0,Médio,1231920
201,4,1,1,5,0,Popular,1043887
57,4,4,2,29,0,Popular,422247
123,3,1,2,36,0,Nobre,1072839
50,3,2,0,22,0,Popular,272359
193,5,4,0,10,0,Nobre,1858354
74,2,4,1,33,0,Médio,492509
296,4,3,3,12,0,Médio,1925504
160,4,2,0,18,1,Médio,1132810
179,1,2,3,10,0,Médio,1148341
251,4,1,1,11,0,Nobre,2232669
275,2,2,2,19,1,Médio,1806345
168,2,2,1,21,0,Nobre,1443285
281,3,2,3,7,0,Popular,1388594
96,1,3,1,27,0,Nobre,805599
149,1,4,1,31,1,Médio,1004402
265,1,4,3,22,0,Popular,1294051
57,1,1,1,19,0,Médio,338948
285,2,2,1,23,0,Nobre,2371337
216,3,2,1,25,1,Médio,1418019
128,4,2,2,17,0,Médio,885362
179,2,1,0,7,0,Médio,1131934
221,5,3,0,2,1,Médio,1604241
147,4,2,0,36,0,Popular,708192
127,4,4,2,39,0,Nobre,1208701
208,5,2,1,14,0,Nobre,1908645
79,4,4,2,14,0,Médio,640698
65,5,1,2,28,0,Popular,386602
258,5,3,2,15,0,Nobre,2395669
129,5,4,3,32,0,Médio,962295
283,4,4,2,4,1,Popular,1526942
97,3,2,1,3,0,Popular,494163
144,5,4,2,9,0,Popular,829239
221,3,2,3,3,1,Popular,1181541
254,4,2,3,36,0,Nobre,2191475
144,4,1,0,14,0,Nobre,1293913
155,5,2,1,0,0,Popular,858347
213,2,2,2,25,0,Médio,1305054
189,4,1,2,8,0,Popular,973270
207,3,3,1,23,0,Popular,1043812
224,5,3,2,3,1,Popular,1315880
153,1,2,2,11,0,Médio,966708
83,2,3,1,19,0,Nobre,758361
76,5,3,1,17,0,Médio,639896
58,5,4,2,3,0,Nobre,853741
270,5,2,1,9,0,Nobre,2453808
218,5,4,0,27,1,Médio,1545375
184,5,2,0,30,0,Nobre,1646637
210,3,4,1,32,0,Médio,1359043
147,2,3,1,0,0,Médio,1017275
131,4,4,1,24,1,Popular,760563
132,3,4,0,0,0,Nobre,1345892
266,1,4,2,24,0,Médio,1618263
148,2,1,3,22,0,Popular,692479
126,1,1,0,1,1,Médio,932836
56,3,3,1,35,0,Popular,330393
285,3,3,0,38,0,Popular,1366731
235,3,4,1,4,0,Nobre,2170889
249,1,2,3,10,0,Popular,1175477
227,5,3,1,26,0,Nobre,2027296
252,1,1,0,9,0,Popular,1157786
185,3,4,1,38,1,Popular,1020424
111,2,3,3,17,0,Popular,629776
239,3,3,1,4,0,Médio,1580651
206,4,4,0,27,0,Médio,1318525
205,4,3,3,24,0,Popular,1071088
179,2,1,3,37,0,Médio,1064543
147,2,1,3,6,0,Médio,1005985
291,3,3,2,33,0,Médio,1777514
83,2,1,1,31,0,Popular,389665
113,3,3,0,11,0,Popular,620793
177,1,4,1,18,0,Médio,1111620
258,5,3,0,23,1,Nobre,2423829
207,3,3,3,24,0,Nobre,1823598
180,3,2,0,35,0,Popular,799076
210,3,2,1,2,0,Médio,1363577
255,5,4,2,38,0,Popular,1296306
96,5,3,2,4,0,Médio,862477
156,2,2,3,33,0,Popular,705328
109,1,3,3,19,0,Popular,548985
238,1,1,2,5,0,Popular,1138489
253,4,1,2,28,0,Médio,1585286
153,5,3,1,37,0,Nobre,1378672
118,2,3,3,17,0,Popular,628348
202,2,4,1,29,0,Popular,967840
270,5,4,3,26,0,Médio,1814884
167,2,3,0,37,0,Nobre,1372458
87,3,1,3,28,1,Popular,540101
78,4,2,2,28,1,Popular,542601
60,2,3,3,10,0,Nobre,711856
138,3,3,3,38,0,Médio,871029
249,4,1,3,9,0,Médio,1635987
227,5,3,1,11,0,Nobre,2145795
257,5,1,0,25,0,Popular,1231999
111,5,2,2,15,0,Médio,805477
188,2,2,2,37,0,Médio,1077941
213,1,3,3,7,0,Médio,1348852
287,4,4,1,30,0,Médio,1804463
133,2,2,0,15,1,Popular,738486
271,5,4,1,27,0,Popular,1358464
264,1,1,0,26,0,Popular,1180941
259,5,1,1,6,0,Popular,1333472
97,2,1,0,26,1,Médio,681814
92,2,2,1,17,1,Popular,575176
142,4,1,0,16,0,Popular,730119
255,4,1,1,12,0,Popular,1261305
74,4,4,3,39,0,Médio,564763
288,2,3,0,14,0,Nobre,2447827
114,2,2,2,22,1,Médio,853475
200,5,4,2,1,1,Popular,1191452
171,4,2,0,35,0,Médio,1047915
75,1,3,0,15,0,Médio,491583
167,3,2,3,36,0,Popular,835433
61,2,1,3,38,0,Popular,258276
129,5,1,3,30,0,Médio,868819
215,3,1,2,38,0,Nobre,1770587
41,3,1,2,36,1,Médio,348744
51,3,1,0,31,1,Popular,323848
176,1,1,3,35,1,Popular,836799
209,5,3,0,3,0,Popular,1090197
211,3,2,2,37,0,Nobre,1801437
235,1,4,3,36,0,Médio,1419237
108,5,1,1,31,0,Médio,745641
224,5,2,0,25,0,Médio,1425124
107,1,3,0,38,1,Nobre,975126
211,4,3,1,31,0,Nobre,1864957
97,2,4,1,24,0,Médio,668146
42,2,1,1,23,0,Médio,254603
225,1,2,3,35,0,Médio,1306757
143,4,2,3,21,0,Médio,986826
294,5,4,1,7,1,Nobre,2882383
246,3,3,2,39,0,Médio,1493866
122,2,2,0,38,0,Popular,532739
55,2,4,3,7,0,Médio,516290
216,2,1,1,14,1,Médio,1412515
281,5,2,1,15,0,Médio,1761715
215,1,1,1,1,1,Nobre,2014972
111,4,2,0,28,0,Nobre,1010085
285,2,3,3,34,0,Nobre,2384102
128,5,1,0,9,0,Popular,693597
118,4,2,0,12,1,Nobre,1284704
159,3,2,2,18,0,Nobre,1431166
172,3,3,0,29,0,Nobre,1495334
212,3,2,3,10,0,Popular,1057072
182,4,3,1,15,1,Nobre,1824072
254,2,2,2,39,0,Popular,1130554
295,1,4,0,2,0,Nobre,2535856
237,4,4,3,16,1,Popular,1321007
283,3,4,2,11,0,Médio,1802559
200,5,3,3,30,0,Popular,1061683
144,3,3,1,38,0,Popular,711122
187,2,1,1,31,0,Popular,855501
264,1,3,0,12,0,Médio,1612744
133,5,2,1,38,0,Nobre,1204188
108,1,4,3,19,0,Popular,593579
78,1,2,3,31,0,Popular,365374
211,1,4,1,22,0,Médio,1328235
253,1,2,3,17,0,Nobre,2135600
129,5,4,2,15,0,Popular,787087
118,1,1,0,20,1,Médio,782145
225,5,4,1,18,0,Popular,1165139
270,2,1,0,31,0,Médio,1588654
258,3,4,0,33,0,Popular,1207810
292,1,4,2,15,1,Popular,1467088
51,3,1,0,35,0,Popular,199165
192,2,1,3,37,0,Médio,1137753
94,1,1,1,33,0,Médio,525236
238,2,3,3,30,0,Popular,1155248
271,4,4,1,23,1,Nobre,2580404
76,2,1,3,34,1,Popular,437023
125,3,2,0,27,0,Nobre,1102557
139,3,4,2,30,0,Popular,733895
68,2,3,1,1,0,Médio,532208
98,2,3,2,27,0,Popular,508254
178,5,2,2,13,0,Médio,1241755
220,4,3,2,24,0,Médio,1452735
250,5,4,3,31,0,Popular,1278983
48,1,3,2,36,0,Popular,195307
282,1,4,0,30,0,Médio,1653409
276,2,2,2,22,0,Médio,1690757
261,4,2,3,29,1,Médio,1745309
268,2,4,2,14,0,Popular,1308713
83,4,1,2,27,0,Popular,449071
273,3,4,0,27,0,Popular,1327432
259,2,2,0,7,0,Nobre,2215220
142,2,1,0,33,0,Médio,801667
229,4,3,1,37,1,Médio,1565842
195,5,3,3,30,0,Nobre,1794279
122,4,3,3,2,0,Médio,940854
97,1,4,2,17,0,Popular,501388
117,4,1,2,38,0,Popular,572479
186,4,1,2,13,0,Popular,941562
61,3,1,0,17,1,Médio,546154
261,2,1,2,1,0,Nobre,2247199
275,5,2,3,32,1,Popular,1439304
194,1,3,3,32,0,Popular,933063
96,2,2,0,22,0,Nobre,849415
291,2,2,1,10,0,Popular,1374656
202,1,2,1,7,0,Popular,973281
275,1,1,2,15,0,Popular,1222103
152,5,1,0,20,0,Médio,991517
278,2,1,0,2,0,Nobre,2392774
216,1,1,2,35,0,Popular,937362
95,4,1,1,11,0,Médio,699430
274,4,4,3,6,0,Nobre,2598766
142,4,3,3,38,1,Nobre,1479871
271,1,1,1,12,0,Popular,1212621
180,5,2,3,26,0,Médio,1220394
72,4,2,3,36,0,Nobre,735450
195,3,1,2,34,1,Médio,1304380
106,5,3,0,21,0,Médio,801111
243,3,4,3,22,1,Médio,1713372
103,3,2,0,19,1,Médio,780420
77,5,1,0,35,0,Popular,402414
118,1,3,1,11,0,Médio,759780
275,3,4,2,33,0,Médio,1740654
249,1,4,1,25,0,Médio,1515859
131,3,4,0,22,0,Popular,648031
85,3,4,2,13,0,Médio,676960
162,4,2,1,6,0,Popular,872100
62,1,1,2,37,0,Nobre,470393
84,4,3,2,35,0,Popular,475528
229,2,4,0,16,0,Médio,1451184
121,5,3,3,18,1,Popular,774594
279,2,4,3,38,0,Popular,1321912
168,1,4,0,36,1,Médio,1088708
166,2,1,0,29,0,Nobre,1310963
259,1,1,2,18,0,Popular,1206470
119,1,4,1,6,0,Nobre,1160068
54,1,3,1,38,0,Médio,324941
55,5,1,0,20,0,Nobre,633578
242,5,2,2,38,1,Médio,1628551
233,3,4,1,5,1,Nobre,2294215
192,1,3,0,5,0,Médio,1174554
91,3,2,0,13,0,Médio,639087
192,2,3,1,4,0,Nobre,1765089
188,5,2,0,24,0,Médio,1205952
188,4,1,3,7,0,Nobre,1764875
105,4,2,1,21,0,Médio,733839
191,3,3,2,29,0,Nobre,1720777
51,4,4,0,16,0,Médio,418169
255,4,3,2,22,0,Médio,1692894
173,1,2,1,21,0,Médio,1011829
255,5,2,1,34,0,Nobre,2216956
75,2,4,1,10,0,Médio,606334
180,2,1,1,23,0,Médio,1077209
292,1,2,3,1,0,Médio,1850491
242,5,4,3,9,0,Nobre,2338834
110,2,2,3,23,0,Médio,703587
133,2,1,2,0,0,Médio,899087
252,4,1,2,20,0,Popular,1212832
242,4,3,2,12,0,Médio,1617349
65,2,4,1,0,0,Nobre,789964
225,2,4,0,2,0,Médio,1446488
243,2,2,3,31,0,Médio,1504331
145,2,1,1,38,0,Popular,605526
61,2,2,0,0,1,Médio,586576
144,2,4,1,38,0,Popular,692576
165,5,4,0,36,1,Médio,1209913
253,5,1,0,1,1,Médio,1757025
121,3,1,1,23,0,Médio,752344
292,3,4,1,32,0,Médio,1822085
74,1,3,0,9,1,Médio,578160
80,4,1,2,5,0,Nobre,867154
99,5,1,0,5,0,Nobre,1081281
203,4,1,2,7,0,Popular,1070753
67,4,2,3,21,0,Nobre,773796
206,2,1,2,20,0,Popular,935012
177,1,2,3,32,0,Nobre,1447718
40,5,4,2,27,1,Popular,381405
146,1,1,1,12,0,Médio,898090
120,1,2,3,20,0,Popular,543271
